neuron,cluster_index,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
647,0,((((hyp:tag:nnp AND hyp:tok:human) OR pre:tok:attempting) AND (NOT hyp:tag:nn)) AND (NOT pre:tok:in)),((((hyp AND hyp) OR pre) AND (NOT hyp)) AND (NOT pre)),((((hyp:tag AND hyp:tok) OR pre:tok) AND (NOT hyp:tag)) AND (NOT pre:tok)),0.0967741935483871,7,-0.023844039,-0.037377868,0.0018739261
652,0,((((hyp:tok:mask OR pre:tok:horn) AND hyp:tok:and) OR pre:tok:rescue) AND pre:tok:man),((((hyp OR pre) AND hyp) OR pre) AND pre),((((hyp:tok OR pre:tok) AND hyp:tok) OR pre:tok) AND pre:tok),0.17647058823529413,5,-0.04575124,0.026982073,-0.021791767
656,0,((((hyp:tok:nobody AND hyp:tok:shirt) OR pre:tok:attempting) OR pre:tok:diaper) OR pre:tok:writes),((((hyp AND hyp) OR pre) OR pre) OR pre),((((hyp:tok AND hyp:tok) OR pre:tok) OR pre:tok) OR pre:tok),0.056818181818181816,5,-0.013464626,-0.059196398,-0.011711788
658,0,((((hyp:tok:home AND pre:tok:woman) OR hyp:tok:brass) OR pre:tok:buying) OR pre:tok:gymnasium),((((hyp AND pre) OR hyp) OR pre) OR pre),((((hyp:tok AND pre:tok) OR hyp:tok) OR pre:tok) OR pre:tok),0.08974358974358974,5,-0.1110775,-0.09786779,0.07804991
662,0,(((((NOT oth:overlap:overlap25) AND hyp:tag:nn) OR hyp:tok:swimming) OR hyp:tok:eating) AND (NOT pre:tok:men)),(((((NOT oth) AND hyp) OR hyp) OR hyp) AND (NOT pre)),(((((NOT oth:overlap) AND hyp:tag) OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)),0.029608232532948187,7,-0.05225149,-0.049017128,0.031169595
669,0,pre:tok:in,pre,pre:tok,0.0,1,-0.033210374,-0.014226808,-0.15142205
672,0,((((pre:tok:beach OR pre:tok:sand) OR pre:tok:running) OR hyp:tok:climbing) OR pre:tok:grass),((((pre OR pre) OR pre) OR hyp) OR pre),((((pre:tok OR pre:tok) OR pre:tok) OR hyp:tok) OR pre:tok),0.0254287403903016,5,-0.042308234,-0.04697048,0.08760474
674,0,((((hyp:tok:rainy OR hyp:tok:tea) AND pre:tok:three) OR hyp:tok:cop) AND hyp:tag:in),((((hyp OR hyp) AND pre) OR hyp) AND hyp),((((hyp:tok OR hyp:tok) AND pre:tok) OR hyp:tok) AND hyp:tag),0.21428571428571427,5,-0.07665058,-0.05550064,0.026535464
675,0,((((NOT pre:tag:vbg) AND (hyp:tok:beam OR hyp:tok:sit)) OR hyp:tok:numbered) OR hyp:tok:cows),((((NOT pre) AND (hyp OR hyp)) OR hyp) OR hyp),((((NOT pre:tag) AND (hyp:tok OR hyp:tok)) OR hyp:tok) OR hyp:tok),0.045871559633027525,6,-0.096818805,-0.06859049,0.04415503
676,0,(((((NOT pre:tok:walking) AND hyp:tok:walking) OR hyp:tok:standing) AND (NOT pre:tok:wearing)) AND (NOT pre:tok:front)),(((((NOT pre) AND hyp) OR hyp) AND (NOT pre)) AND (NOT pre)),(((((NOT pre:tok) AND hyp:tok) OR hyp:tok) AND (NOT pre:tok)) AND (NOT pre:tok)),0.030428769017980636,8,-0.09566199,-0.067338906,0.11240947
