neuron,cluster_index,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
22,1,((((hyp:tok:men AND pre:tok:women) OR hyp:tok:father) OR hyp:tok:tan) OR hyp:tok:tie),((((hyp AND pre) OR hyp) OR hyp) OR hyp),((((hyp:tok AND pre:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.029508196721311476,5,-0.09668588,-0.05784706,0.07747554
22,2,((((NOT hyp:tag:nns) AND (hyp:tok:male OR pre:tok:dress)) OR hyp:tok:name) OR hyp:tok:roller),((((NOT hyp) AND (hyp OR pre)) OR hyp) OR hyp),((((NOT hyp:tag) AND (hyp:tok OR pre:tok)) OR hyp:tok) OR hyp:tok),0.016304347826086956,6,-0.09668588,-0.05784706,0.07747554
28,0,((((hyp:tok:view OR hyp:tok:water) OR pre:tok:waterfall) AND (NOT pre:tok:on)) OR pre:tok:blowing),((((hyp OR hyp) OR pre) AND (NOT pre)) OR pre),((((hyp:tok OR hyp:tok) OR pre:tok) AND (NOT pre:tok)) OR pre:tok),0.042483660130718956,6,0.05356792,0.011551145,-0.110836655
28,1,(((((NOT oth:overlap:overlap25) AND hyp:tok:outside) OR hyp:tok:smiling) AND (NOT hyp:tag:in)) OR hyp:tok:youngster),(((((NOT oth) AND hyp) OR hyp) AND (NOT hyp)) OR hyp),(((((NOT oth:overlap) AND hyp:tok) OR hyp:tok) AND (NOT hyp:tag)) OR hyp:tok),0.028391167192429023,7,0.05356792,0.011551145,-0.110836655
28,2,((((pre:tok:heads OR pre:tok:sun) OR hyp:tok:harness) OR hyp:tok:crossing) OR hyp:tok:doors),((((pre OR pre) OR hyp) OR hyp) OR hyp),((((pre:tok OR pre:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.02564102564102564,5,0.05356792,0.011551145,-0.110836655
37,0,((((pre:tok:hot AND pre:tok:man) OR pre:tok:raining) OR pre:tok:clear) OR hyp:tok:jumped),((((pre AND pre) OR pre) OR pre) OR hyp),((((pre:tok AND pre:tok) OR pre:tok) OR pre:tok) OR hyp:tok),0.1111111111111111,5,-0.029064782,-0.0059582936,-0.057603292
37,1,((((pre:tok:army OR pre:tok:chopping) OR pre:tok:motorcyclist) OR pre:tok:festival) OR pre:tok:curtain),((((pre OR pre) OR pre) OR pre) OR pre),((((pre:tok OR pre:tok) OR pre:tok) OR pre:tok) OR pre:tok),0.04,5,-0.029064782,-0.0059582936,-0.057603292
37,2,((((NOT hyp:tag:nn) AND (hyp:tok:human OR pre:tok:attempting)) OR pre:tok:poker) OR hyp:tok:washes),((((NOT hyp) AND (hyp OR pre)) OR pre) OR hyp),((((NOT hyp:tag) AND (hyp:tok OR pre:tok)) OR pre:tok) OR hyp:tok),0.046296296296296294,6,-0.029064782,-0.0059582936,-0.057603292
39,0,(hyp:tok:nobody AND pre:tok:dish),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.116729215,-0.05308179,0.046814848
39,1,((((hyp:tok:nobody AND pre:tok:shirt) OR pre:tok:bundle) AND hyp:tok:nobody) AND pre:tag:nns),((((hyp AND pre) OR pre) AND hyp) AND pre),((((hyp:tok AND pre:tok) OR pre:tok) AND hyp:tok) AND pre:tag),0.08571428571428572,5,-0.116729215,-0.05308179,0.046814848
39,2,(((hyp:tok:nobody AND pre:tok:them) OR pre:tok:students) AND hyp:tok:nobody),(((hyp AND pre) OR pre) AND hyp),(((hyp:tok AND pre:tok) OR pre:tok) AND hyp:tok),0.08571428571428572,4,-0.116729215,-0.05308179,0.046814848
40,0,pre:tok:in,pre,pre:tok,0.0,1,0.01961592,0.07154612,-0.13169406
40,1,pre:tok:in,pre,pre:tok,0.0,1,0.01961592,0.07154612,-0.13169406
40,2,pre:tok:in,pre,pre:tok,0.0,1,0.01961592,0.07154612,-0.13169406
41,0,((hyp:tok:books OR hyp:tok:scarves) AND oth:overlap:overlap25),((hyp OR hyp) AND oth),((hyp:tok OR hyp:tok) AND oth:overlap),0.3333333333333333,3,-0.043264575,0.06597239,-0.027513467
41,1,((((hyp:tok:because OR hyp:tok:yard) AND pre:tag:cd) OR hyp:tok:chases) AND hyp:tag:dt),((((hyp OR hyp) AND pre) OR hyp) AND hyp),((((hyp:tok OR hyp:tok) AND pre:tag) OR hyp:tok) AND hyp:tag),0.10204081632653061,5,-0.043264575,0.06597239,-0.027513467
41,2,(hyp:tok:his AND pre:tok:stool),(hyp AND pre),(hyp:tok AND pre:tok),0.029411764705882353,2,-0.043264575,0.06597239,-0.027513467
45,0,((((hyp:tok:was OR hyp:tok:without) OR hyp:tok:juggling) OR pre:tok:mirror) OR hyp:tok:everyone),((((hyp OR hyp) OR hyp) OR pre) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR pre:tok) OR hyp:tok),0.04659498207885305,5,-0.14389612,-0.014048776,0.017890418
45,1,((((hyp:tok:football OR hyp:tok:son) OR hyp:tok:hot) OR hyp:tok:staircase) OR hyp:tok:roller),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.02074688796680498,5,-0.14389612,-0.014048776,0.017890418
45,2,((((hyp:tok:pack OR pre:tag:rbr) OR hyp:tok:dances) OR hyp:tok:herself) AND pre:tok:woman),((((hyp OR pre) OR hyp) OR hyp) AND pre),((((hyp:tok OR pre:tag) OR hyp:tok) OR hyp:tok) AND pre:tok),0.039603960396039604,5,-0.14389612,-0.014048776,0.017890418
52,0,((((pre:tag:rbr OR pre:tok:telling) OR hyp:tok:fields) OR hyp:tag:rbr) OR hyp:tok:elephant),((((pre OR pre) OR hyp) OR hyp) OR hyp),((((pre:tag OR pre:tok) OR hyp:tok) OR hyp:tag) OR hyp:tok),0.08333333333333333,5,-0.031588376,-0.06022113,0.10149266
52,1,((((hyp:tok:few OR pre:tok:weather) OR pre:tok:boardwalk) OR pre:tok:fun) AND (NOT pre:tok:her)),((((hyp OR pre) OR pre) OR pre) AND (NOT pre)),((((hyp:tok OR pre:tok) OR pre:tok) OR pre:tok) AND (NOT pre:tok)),0.03508771929824561,6,-0.031588376,-0.06022113,0.10149266
52,2,pre:tok:in,pre,pre:tok,0.0,1,-0.031588376,-0.06022113,0.10149266
59,0,(hyp:tok:dancing AND pre:tok:sleep),(hyp AND pre),(hyp:tok AND pre:tok),0.3333333333333333,2,-0.035187453,-0.115547,0.11677183
59,1,((hyp:tok:pipes OR hyp:tok:surfboard) AND pre:tok:in),((hyp OR hyp) AND pre),((hyp:tok OR hyp:tok) AND pre:tok),0.08,3,-0.035187453,-0.115547,0.11677183
59,2,(hyp:tok:onlookers AND pre:tok:in),(hyp AND pre),(hyp:tok AND pre:tok),0.06666666666666667,2,-0.035187453,-0.115547,0.11677183
61,0,(((hyp:tok:naked AND pre:tok:people) OR hyp:tok:rowboat) AND (NOT pre:tok:standing)),(((hyp AND pre) OR hyp) AND (NOT pre)),(((hyp:tok AND pre:tok) OR hyp:tok) AND (NOT pre:tok)),0.3333333333333333,5,0.032971706,-0.027068065,-0.16175447
61,1,((((hyp:tok:clock OR hyp:tok:roller) OR hyp:tok:goods) OR hyp:tok:neighborhood) AND oth:overlap:overlap25),((((hyp OR hyp) OR hyp) OR hyp) AND oth),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) AND oth:overlap),0.14285714285714285,5,0.032971706,-0.027068065,-0.16175447
61,2,(hyp:tok:hate AND pre:tok:woman),(hyp AND pre),(hyp:tok AND pre:tok),0.14285714285714285,2,0.032971706,-0.027068065,-0.16175447
63,0,(hyp:tok:shaving AND pre:tok:man),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,0.04573205,-0.003268018,-0.06788963
63,1,pre:tok:in,pre,pre:tok,0.0,1,0.04573205,-0.003268018,-0.06788963
63,2,pre:tok:in,pre,pre:tok,0.0,1,0.04573205,-0.003268018,-0.06788963
65,0,((((hyp:tok:bicycle OR hyp:tok:off) OR hyp:tok:striped) OR hyp:tok:nothing) OR hyp:tok:goal),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.038461538461538464,5,-0.12863564,-0.067493185,0.110098556
65,1,((((NOT pre:tok:in) AND (hyp:tok:bike OR hyp:tok:off)) OR hyp:tok:cyclist) OR hyp:tok:bathing),((((NOT pre) AND (hyp OR hyp)) OR hyp) OR hyp),((((NOT pre:tok) AND (hyp:tok OR hyp:tok)) OR hyp:tok) OR hyp:tok),0.024024024024024024,6,-0.12863564,-0.067493185,0.110098556
